08-17 04:41 INFO     Initialising repertoire with random population
08-17 04:42 INFO     Repertoire Metrics
08-17 04:42 INFO     Total Quality -32.32315087545931
08-17 04:42 INFO     Max Quality -0.06747269902844974
08-17 04:42 INFO     Max Quality Bin (16, 16)
08-17 04:42 INFO     Min Quality -1.1436544337713976
08-17 04:42 INFO     Min Quality Bin (0, 12)
08-17 04:42 INFO     Number of genomes 67
08-17 04:42 INFO     Mean quality -0.4824350876934226
08-17 04:42 INFO     
08-17 04:42 INFO     Iteration 1
08-17 04:42 WARNING  from Curiosity selector- number of samples queried from container exceed it's size,returning all genomes
08-17 04:42 INFO     Repertoire Metrics
08-17 04:42 INFO     Total Quality -40.335430482267036
08-17 04:42 INFO     Max Quality -0.06747269902844974
08-17 04:42 INFO     Max Quality Bin (16, 16)
08-17 04:42 INFO     Min Quality -1.1436544337713976
08-17 04:42 INFO     Min Quality Bin (0, 12)
08-17 04:42 INFO     Number of genomes 79
08-17 04:42 INFO     Mean quality -0.5105750693957852
08-17 04:42 INFO     
08-17 04:42 INFO     Number of better genomes found in this iteration 5
08-17 04:42 INFO     Total quality increase by better genomes in this iteration 0.2818190257783766
08-17 04:42 INFO     Normalised quality increase by better genomes in this iteration 0.056363805155675316
08-17 04:42 INFO     Number of new genomes added in this iteration 12

08-17 04:42 INFO     Iteration 2
08-17 04:42 WARNING  from Curiosity selector- number of samples queried from container exceed it's size,returning all genomes
08-17 04:43 INFO     Repertoire Metrics
08-17 04:43 INFO     Total Quality -42.30873020491647
08-17 04:43 INFO     Max Quality -0.06747269902844974
08-17 04:43 INFO     Max Quality Bin (16, 16)
08-17 04:43 INFO     Min Quality -1.1436544337713976
08-17 04:43 INFO     Min Quality Bin (0, 12)
08-17 04:43 INFO     Number of genomes 86
08-17 04:43 INFO     Mean quality -0.49196197912693573
08-17 04:43 INFO     
08-17 04:43 INFO     Number of better genomes found in this iteration 15
08-17 04:43 INFO     Total quality increase by better genomes in this iteration 2.0511388942532585
08-17 04:43 INFO     Normalised quality increase by better genomes in this iteration 0.13674259295021723
08-17 04:43 INFO     Number of new genomes added in this iteration 7

08-17 04:43 INFO     Iteration 3
08-17 04:43 WARNING  from Curiosity selector- number of samples queried from container exceed it's size,returning all genomes
08-17 04:43 INFO     Repertoire Metrics
08-17 04:43 INFO     Total Quality -49.853256421347865
08-17 04:43 INFO     Max Quality -0.06747269902844974
08-17 04:43 INFO     Max Quality Bin (16, 16)
08-17 04:43 INFO     Min Quality -1.1436544337713976
08-17 04:43 INFO     Min Quality Bin (0, 12)
08-17 04:43 INFO     Number of genomes 100
08-17 04:43 INFO     Mean quality -0.49853256421347864
08-17 04:43 INFO     
08-17 04:43 INFO     Number of better genomes found in this iteration 10
08-17 04:43 INFO     Total quality increase by better genomes in this iteration 1.9904075282725633
08-17 04:43 INFO     Normalised quality increase by better genomes in this iteration 0.19904075282725633
08-17 04:43 INFO     Number of new genomes added in this iteration 14

08-17 04:43 INFO     Iteration 4
08-17 04:43 INFO     Repertoire Metrics
08-17 04:43 INFO     Total Quality -58.835498314643786
08-17 04:43 INFO     Max Quality -0.06747269902844974
08-17 04:43 INFO     Max Quality Bin (16, 16)
08-17 04:43 INFO     Min Quality -1.1436544337713976
08-17 04:43 INFO     Min Quality Bin (0, 12)
08-17 04:43 INFO     Number of genomes 117
08-17 04:43 INFO     Mean quality -0.5028675069627674
08-17 04:43 INFO     
08-17 04:43 INFO     Number of better genomes found in this iteration 15
08-17 04:43 INFO     Total quality increase by better genomes in this iteration 2.2258352109274906
08-17 04:43 INFO     Normalised quality increase by better genomes in this iteration 0.14838901406183272
08-17 04:43 INFO     Number of new genomes added in this iteration 17

08-17 04:43 INFO     Iteration 5
08-17 04:44 INFO     Repertoire Metrics
08-17 04:44 INFO     Total Quality -66.49958395018126
08-17 04:44 INFO     Max Quality -0.06747269902844974
08-17 04:44 INFO     Max Quality Bin (16, 16)
08-17 04:44 INFO     Min Quality -1.1436544337713976
08-17 04:44 INFO     Min Quality Bin (0, 12)
08-17 04:44 INFO     Number of genomes 130
08-17 04:44 INFO     Mean quality -0.5115352611552405
08-17 04:44 INFO     
08-17 04:44 INFO     Number of better genomes found in this iteration 13
08-17 04:44 INFO     Total quality increase by better genomes in this iteration 0.9827343609528914
08-17 04:44 INFO     Normalised quality increase by better genomes in this iteration 0.07559495084253011
08-17 04:44 INFO     Number of new genomes added in this iteration 13

08-17 04:44 INFO     Iteration 6
08-17 04:44 INFO     Repertoire Metrics
08-17 04:44 INFO     Total Quality -74.14059306819053
08-17 04:44 INFO     Max Quality -0.06747269902844974
08-17 04:44 INFO     Max Quality Bin (16, 16)
08-17 04:44 INFO     Min Quality -1.1436544337713976
08-17 04:44 INFO     Min Quality Bin (0, 12)
08-17 04:44 INFO     Number of genomes 143
08-17 04:44 INFO     Mean quality -0.5184656857915422
08-17 04:44 INFO     
08-17 04:44 INFO     Number of better genomes found in this iteration 15
08-17 04:44 INFO     Total quality increase by better genomes in this iteration 1.6536147154578997
08-17 04:44 INFO     Normalised quality increase by better genomes in this iteration 0.11024098103052665
08-17 04:44 INFO     Number of new genomes added in this iteration 13

08-17 04:44 INFO     Iteration 7
08-17 04:44 INFO     Repertoire Metrics
08-17 04:44 INFO     Total Quality -82.81191200172853
08-17 04:44 INFO     Max Quality -0.06051388107229408
08-17 04:44 INFO     Max Quality Bin (16, 16)
08-17 04:44 INFO     Min Quality -1.1436544337713976
08-17 04:44 INFO     Min Quality Bin (0, 12)
08-17 04:44 INFO     Number of genomes 156
08-17 04:44 INFO     Mean quality -0.5308455897546701
08-17 04:44 INFO     
08-17 04:44 INFO     Number of better genomes found in this iteration 11
08-17 04:44 INFO     Total quality increase by better genomes in this iteration 0.8063941578798919
08-17 04:44 INFO     Normalised quality increase by better genomes in this iteration 0.0733085598072629
08-17 04:44 INFO     Number of new genomes added in this iteration 13

08-17 04:44 INFO     Iteration 8
08-17 04:45 INFO     Repertoire Metrics
08-17 04:45 INFO     Total Quality -91.48182003252636
08-17 04:45 INFO     Max Quality -0.06051388107229408
08-17 04:45 INFO     Max Quality Bin (16, 16)
08-17 04:45 INFO     Min Quality -1.2581121044081403
08-17 04:45 INFO     Min Quality Bin (11, 19)
08-17 04:45 INFO     Number of genomes 170
08-17 04:45 INFO     Mean quality -0.538128353132508
08-17 04:45 INFO     
08-17 04:45 INFO     Number of better genomes found in this iteration 8
08-17 04:45 INFO     Total quality increase by better genomes in this iteration 0.8059879335991251
08-17 04:45 INFO     Normalised quality increase by better genomes in this iteration 0.10074849169989064
08-17 04:45 INFO     Number of new genomes added in this iteration 14

08-17 04:45 INFO     Iteration 9
08-17 04:45 INFO     Repertoire Metrics
08-17 04:45 INFO     Total Quality -100.9437269855499
08-17 04:45 INFO     Max Quality -0.06051388107229408
08-17 04:45 INFO     Max Quality Bin (16, 16)
08-17 04:45 INFO     Min Quality -1.2581121044081403
08-17 04:45 INFO     Min Quality Bin (11, 19)
08-17 04:45 INFO     Number of genomes 184
08-17 04:45 INFO     Mean quality -0.5486072118779886
08-17 04:45 INFO     
08-17 04:45 INFO     Number of better genomes found in this iteration 7
08-17 04:45 INFO     Total quality increase by better genomes in this iteration 0.5942723034529442
08-17 04:45 INFO     Normalised quality increase by better genomes in this iteration 0.0848960433504206
08-17 04:45 INFO     Number of new genomes added in this iteration 14

08-17 04:45 INFO     Iteration 10
08-17 04:46 INFO     Repertoire Metrics
08-17 04:46 INFO     Total Quality -106.56046374277523
08-17 04:46 INFO     Max Quality -0.06051388107229408
08-17 04:46 INFO     Max Quality Bin (16, 16)
08-17 04:46 INFO     Min Quality -1.2581121044081403
08-17 04:46 INFO     Min Quality Bin (11, 19)
08-17 04:46 INFO     Number of genomes 193
08-17 04:46 INFO     Mean quality -0.5521267551439131
08-17 04:46 INFO     
08-17 04:46 INFO     Number of better genomes found in this iteration 15
08-17 04:46 INFO     Total quality increase by better genomes in this iteration 0.7424396521087209
08-17 04:46 INFO     Normalised quality increase by better genomes in this iteration 0.04949597680724806
08-17 04:46 INFO     Number of new genomes added in this iteration 9

08-17 04:46 INFO     Saving repertoire for iteration 10

08-17 04:46 INFO     Iteration 11
08-17 04:46 INFO     Repertoire Metrics
08-17 04:46 INFO     Total Quality -115.28678170219291
08-17 04:46 INFO     Max Quality -0.06051388107229408
08-17 04:46 INFO     Max Quality Bin (16, 16)
08-17 04:46 INFO     Min Quality -1.2581121044081403
08-17 04:46 INFO     Min Quality Bin (11, 19)
08-17 04:46 INFO     Number of genomes 207
08-17 04:46 INFO     Mean quality -0.5569409744067291
08-17 04:46 INFO     
08-17 04:46 INFO     Number of better genomes found in this iteration 12
08-17 04:46 INFO     Total quality increase by better genomes in this iteration 0.980810090338572
08-17 04:46 INFO     Normalised quality increase by better genomes in this iteration 0.081734174194881
08-17 04:46 INFO     Number of new genomes added in this iteration 14

08-17 04:46 INFO     Iteration 12
08-17 04:47 INFO     Repertoire Metrics
08-17 04:47 INFO     Total Quality -120.55920194939586
